22/05/2023 10:51:49, Information, Logged in information
22/05/2023 10:51:49, Error, Logged in an error
22/05/2023 10:53:55, Information, Logged in information
22/05/2023 10:53:55, Warning, warning in the log
22/05/2023 10:53:55, Error, Logged in an error
22/05/2023 11:19:22, Information, Logged in information
22/05/2023 11:19:22, Warning, warning in the log
22/05/2023 11:19:22, Error, Logged in an error
22/05/2023 11:19:22, Information, The Log has been recorded sucessfully
22/05/2023 11:21:23, Error, Logged in an error
22/05/2023 11:21:23, Information, The Log has been recorded sucessfully
22/05/2023 11:25:46, Error, Logged in an error
22/05/2023 11:25:46, Error, Logged in an error
22/05/2023 11:25:46, Error, Logged in an error
22/05/2023 11:25:46, Error, Logged in an error
22/05/2023 11:25:46, Error, Logged in an error
22/05/2023 11:25:46, Information, The Log has been recorded sucessfully
22/05/2023 11:27:47, Information, Logged in information
22/05/2023 11:30:30, Information, Logged in information
22/05/2023 11:34:29, Warning, warning in the log
22/05/2023 11:34:53, Error, Logged in an error
22/05/2023 11:35:22, Warning, warning in the log
22/05/2023 11:36:07, Warning, warning in the log
22/05/2023 11:48:50, Error, Logged in an error
22/05/2023 12:04:58, Information, Logged in information
22/05/2023 12:07:04, Information, Logged in information
22/05/2023 12:08:30, Information, Logged in information
22/05/2023 12:10:25, Information, Logged in information
22/05/2023 12:17:55, Information, Logged in information
22/05/2023 12:35:53, Information, Logged in information
22/05/2023 12:36:40, Information, Logged in information
22/05/2023 12:42:41, Information, Logged in information
22/05/2023 12:43:18, Information, Logged in information
22/05/2023 12:44:33, Error, Logged in an error
22/05/2023 12:44:33, Error, Logged in an error
22/05/2023 12:44:33, Error, Logged in an error
22/05/2023 12:44:33, Error, Logged in an error
22/05/2023 12:44:33, Error, Logged in an error
22/05/2023 12:44:33, Error, Logged in an error
22/05/2023 12:44:33, Error, Logged in an error
22/05/2023 12:44:33, Error, Logged in an error
22/05/2023 12:44:33, Error, Logged in an error
22/05/2023 12:44:33, Error, Logged in an error
